"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050709","BP","GO:0050709","negative regulation of protein secretion","3/238","74/18870",0.0669309862953167,0.297805572556612,0.253012915639664,"FOXO1/INHBB/RAB11FIP1",3
"GO:0051048","BP","GO:0051048","negative regulation of secretion","5/238","172/18870",0.0671162281260125,0.297805572556612,0.253012915639664,"FOXO1/INHBB/LEP/RAB11FIP1/HTR1B",5
"GO:0006022","BP","GO:0006022","aminoglycan metabolic process","4/238","121/18870",0.0671458860455292,0.297805572556612,0.253012915639664,"CHST7/HMMR/CHSY3/ITIH3",4
"GO:0072330","BP","GO:0072330","monocarboxylic acid biosynthetic process","6/238","226/18870",0.0671889853754218,0.297805572556612,0.253012915639664,"ALOX15B/ACSS1/PRKAG2/OLAH/PDK4/ACOT4",6
"GO:0006979","BP","GO:0006979","response to oxidative stress","9/238","400/18870",0.0677067191061564,0.298047192215127,0.253218193511908,"GPX3/FOXO1/TLDC2/PRR5L/ATP2A2/GCH1/ANGPTL7/MCTP1/GPR37",9
"GO:0006691","BP","GO:0006691","leukotriene metabolic process","2/238","34/18870",0.0682751277320997,0.298047192215127,0.253218193511908,"GGT5/ALOX5AP",2
"GO:0030212","BP","GO:0030212","hyaluronan metabolic process","2/238","34/18870",0.0682751277320997,0.298047192215127,0.253218193511908,"HMMR/ITIH3",2
"GO:0031128","BP","GO:0031128","developmental induction","2/238","34/18870",0.0682751277320997,0.298047192215127,0.253218193511908,"FZD5/GDNF",2
"GO:0034405","BP","GO:0034405","response to fluid shear stress","2/238","34/18870",0.0682751277320997,0.298047192215127,0.253218193511908,"CITED2/MTSS1",2
"GO:0043276","BP","GO:0043276","anoikis","2/238","34/18870",0.0682751277320997,0.298047192215127,0.253218193511908,"DAPK2/PDK4",2
"GO:0048265","BP","GO:0048265","response to pain","2/238","34/18870",0.0682751277320997,0.298047192215127,0.253218193511908,"THBS1/GCH1",2
"GO:0070528","BP","GO:0070528","protein kinase C signaling","2/238","34/18870",0.0682751277320997,0.298047192215127,0.253218193511908,"MYADM/ANKRD1",2
"GO:0086019","BP","GO:0086019","cell-cell signaling involved in cardiac conduction","2/238","34/18870",0.0682751277320997,0.298047192215127,0.253218193511908,"CACNB2/PKP2",2
"GO:0090183","BP","GO:0090183","regulation of kidney development","2/238","34/18870",0.0682751277320997,0.298047192215127,0.253218193511908,"GDNF/NOG",2
"GO:1900225","BP","GO:1900225","regulation of NLRP3 inflammasome complex assembly","2/238","34/18870",0.0682751277320997,0.298047192215127,0.253218193511908,"PLCG2/PTPN22",2
"GO:0002367","BP","GO:0002367","cytokine production involved in immune response","4/238","122/18870",0.068768114669652,0.299376806055006,0.254347821380905,"NR4A3/FZD5/GPRC5B/PLCG2",4
"GO:0022612","BP","GO:0022612","gland morphogenesis","4/238","122/18870",0.068768114669652,0.299376806055006,0.254347821380905,"TGFBR2/GDF7/EDA/NOG",4
"GO:0061077","BP","GO:0061077","chaperone-mediated protein folding","3/238","75/18870",0.0690979335663487,0.30040113936232,0.25521808567598,"FKBP5/DNAJB4/HSPA2",3
"GO:0009260","BP","GO:0009260","ribonucleotide biosynthetic process","6/238","228/18870",0.0694693890448744,0.301603440416135,0.256239549755684,"ACSL1/CTPS1/ACSS1/PRKAG2/GUCY2D/PDK4",6
"GO:0006163","BP","GO:0006163","purine nucleotide metabolic process","10/238","463/18870",0.0695864571750332,0.301699537383705,0.256321192868472,"SAMHD1/NNMT/DCXR/ACSL1/TJP2/ACSS1/PRKAG2/GUCY2D/PDK4/ACOT4",10
"GO:0070482","BP","GO:0070482","response to oxygen levels","8/238","343/18870",0.0698804486444482,0.302561397536862,0.257053421444156,"FOXO1/THBS1/CITED2/HIF3A/LEP/RGCC/STC1/PDPN",8
"GO:0071774","BP","GO:0071774","response to fibroblast growth factor","4/238","123/18870",0.0704104817977246,0.304441511773019,0.258650749461029,"THBS1/FGF22/DLL4/NOG",4
"GO:0005977","BP","GO:0005977","glycogen metabolic process","3/238","76/18870",0.0712964129063629,0.306819237921317,0.260670844048948,"IRS2/PRKAG2/SORBS1",3
"GO:0002685","BP","GO:0002685","regulation of leukocyte migration","6/238","230/18870",0.0717942353692404,0.306819237921317,0.260670844048948,"DUSP1/THBS1/RAC3/NEDD9/PIK3R1/DAPK2",6
"GO:0000038","BP","GO:0000038","very long-chain fatty acid metabolic process","2/238","35/18870",0.0718292992490433,0.306819237921317,0.260670844048948,"ACSL1/ACOT4",2
"GO:0001893","BP","GO:0001893","maternal placenta development","2/238","35/18870",0.0718292992490433,0.306819237921317,0.260670844048948,"CITED2/STC1",2
"GO:0036314","BP","GO:0036314","response to sterol","2/238","35/18870",0.0718292992490433,0.306819237921317,0.260670844048948,"TGFBR2/INHBB",2
"GO:0086005","BP","GO:0086005","ventricular cardiac muscle cell action potential","2/238","35/18870",0.0718292992490433,0.306819237921317,0.260670844048948,"KCND3/PKP2",2
"GO:0090311","BP","GO:0090311","regulation of protein deacetylation","2/238","35/18870",0.0718292992490433,0.306819237921317,0.260670844048948,"NNMT/TPPP",2
"GO:0098810","BP","GO:0098810","neurotransmitter reuptake","2/238","35/18870",0.0718292992490433,0.306819237921317,0.260670844048948,"GDNF/GPM6B",2
"GO:1902882","BP","GO:1902882","regulation of response to oxidative stress","2/238","35/18870",0.0718292992490433,0.306819237921317,0.260670844048948,"GCH1/MCTP1",2
"GO:0007548","BP","GO:0007548","sex differentiation","7/238","288/18870",0.0731797460011186,0.312168097706785,0.265215186849691,"ADAMTS1/PTX3/CITED2/INHBB/LEP/DMC1/CHD7",7
"GO:0001952","BP","GO:0001952","regulation of cell-matrix adhesion","4/238","125/18870",0.0737552603890544,0.312942880529259,0.265873435314348,"THBS1/PIK3R1/FAM107A/GPM6B",4
"GO:0033865","BP","GO:0033865","nucleoside bisphosphate metabolic process","4/238","125/18870",0.0737552603890544,0.312942880529259,0.265873435314348,"ACSL1/ACSS1/PDK4/ACOT4",4
"GO:0033875","BP","GO:0033875","ribonucleoside bisphosphate metabolic process","4/238","125/18870",0.0737552603890544,0.312942880529259,0.265873435314348,"ACSL1/ACSS1/PDK4/ACOT4",4
"GO:0034032","BP","GO:0034032","purine nucleoside bisphosphate metabolic process","4/238","125/18870",0.0737552603890544,0.312942880529259,0.265873435314348,"ACSL1/ACSS1/PDK4/ACOT4",4
"GO:0001837","BP","GO:0001837","epithelial to mesenchymal transition","5/238","178/18870",0.0752733122911515,0.316075771865472,0.268535111402384,"TGFBR2/RGCC/TMEM100/PDPN/NOG",5
"GO:0072659","BP","GO:0072659","protein localization to plasma membrane","7/238","290/18870",0.075298535775185,0.316075771865472,0.268535111402384,"CACNB2/PIK3R1/SORBS1/PKDCC/ZDHHC23/NKD2/PKP2",7
"GO:0008406","BP","GO:0008406","gonad development","6/238","233/18870",0.0753646889267413,0.316075771865472,0.268535111402384,"ADAMTS1/PTX3/CITED2/INHBB/LEP/DMC1",6
"GO:0001569","BP","GO:0001569","branching involved in blood vessel morphogenesis","2/238","36/18870",0.0754421621318603,0.316075771865472,0.268535111402384,"TGFBR2/DLL4",2
"GO:0035137","BP","GO:0035137","hindlimb morphogenesis","2/238","36/18870",0.0754421621318603,0.316075771865472,0.268535111402384,"ZBTB16/CHD7",2
"GO:1905332","BP","GO:1905332","positive regulation of morphogenesis of an epithelium","2/238","36/18870",0.0754421621318603,0.316075771865472,0.268535111402384,"GDNF/NOG",2
"GO:0002688","BP","GO:0002688","regulation of leukocyte chemotaxis","4/238","126/18870",0.0754574768789743,0.316075771865472,0.268535111402384,"DUSP1/THBS1/NEDD9/DAPK2",4
"GO:0006575","BP","GO:0006575","cellular modified amino acid metabolic process","4/238","126/18870",0.0754574768789743,0.316075771865472,0.268535111402384,"PRODH/GCH1/DIO2/GCNT4",4
"GO:0042471","BP","GO:0042471","ear morphogenesis","4/238","126/18870",0.0754574768789743,0.316075771865472,0.268535111402384,"FRZB/COL11A1/NOG/CHD7",4
"GO:0044042","BP","GO:0044042","glucan metabolic process","3/238","78/18870",0.0757865758846727,0.316075771865472,0.268535111402384,"IRS2/PRKAG2/SORBS1",3
"GO:0046209","BP","GO:0046209","nitric oxide metabolic process","3/238","78/18870",0.0757865758846727,0.316075771865472,0.268535111402384,"SLC7A6/PTX3/GCH1",3
"GO:0097009","BP","GO:0097009","energy homeostasis","3/238","78/18870",0.0757865758846727,0.316075771865472,0.268535111402384,"FOXO1/NR4A3/LEP",3
"GO:1901568","BP","GO:1901568","fatty acid derivative metabolic process","3/238","78/18870",0.0757865758846727,0.316075771865472,0.268535111402384,"ACSL1/ALOX15B/GGT5",3
"GO:0006469","BP","GO:0006469","negative regulation of protein kinase activity","5/238","179/18870",0.0766830177891427,0.319184877540312,0.271176579408068,"DUSP1/ERRFI1/PRKAG2/ADARB1/PTPN22",5
"GO:0051384","BP","GO:0051384","response to glucocorticoid","4/238","127/18870",0.0771794420783664,0.319184877540312,0.271176579408068,"KLF9/FAM107A/STC1/IGFBP2",4
"GO:0046942","BP","GO:0046942","carboxylic acid transport","8/238","351/18870",0.0775024047146812,0.319184877540312,0.271176579408068,"IRS2/ACSL1/SLC7A6/THBS1/SLC16A12/LEP/FABP4/HTR1B",8
"GO:0002573","BP","GO:0002573","myeloid leukocyte differentiation","6/238","235/18870",0.077800317333645,0.319184877540312,0.271176579408068,"TGFBR2/FSTL3/CITED2/NEDD9/PIK3R1/BATF3",6
"GO:0046390","BP","GO:0046390","ribose phosphate biosynthetic process","6/238","235/18870",0.077800317333645,0.319184877540312,0.271176579408068,"ACSL1/CTPS1/ACSS1/PRKAG2/GUCY2D/PDK4",6
"GO:2001057","BP","GO:2001057","reactive nitrogen species metabolic process","3/238","79/18870",0.0780775485282652,0.319184877540312,0.271176579408068,"SLC7A6/PTX3/GCH1",3
"GO:0015849","BP","GO:0015849","organic acid transport","8/238","352/18870",0.0784889592344545,0.319184877540312,0.271176579408068,"IRS2/ACSL1/SLC7A6/THBS1/SLC16A12/LEP/FABP4/HTR1B",8
"GO:0001704","BP","GO:0001704","formation of primary germ layer","4/238","128/18870",0.0789210494578934,0.319184877540312,0.271176579408068,"DUSP1/TXNRD1/COL11A1/NOG",4
"GO:0010951","BP","GO:0010951","negative regulation of endopeptidase activity","4/238","128/18870",0.0789210494578934,0.319184877540312,0.271176579408068,"TIMP4/THBS1/SERPINA3/SERPINF2",4
"GO:0097237","BP","GO:0097237","cellular response to toxic substance","4/238","128/18870",0.0789210494578934,0.319184877540312,0.271176579408068,"GPX3/TXNRD1/GCH1/ALOX5AP",4
"GO:0010934","BP","GO:0010934","macrophage cytokine production","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"GPRC5B/PLCG2",2
"GO:0010935","BP","GO:0010935","regulation of macrophage cytokine production","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"GPRC5B/PLCG2",2
"GO:0014059","BP","GO:0014059","regulation of dopamine secretion","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"GDNF/HTR1B",2
"GO:0031076","BP","GO:0031076","embryonic camera-type eye development","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"FZD5/CITED2",2
"GO:0033144","BP","GO:0033144","negative regulation of intracellular steroid hormone receptor signaling pathway","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"PER1/LBH",2
"GO:0044319","BP","GO:0044319","wound healing, spreading of cells","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"CCN1/PDPN",2
"GO:0044546","BP","GO:0044546","NLRP3 inflammasome complex assembly","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"PLCG2/PTPN22",2
"GO:0046329","BP","GO:0046329","negative regulation of JNK cascade","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"PER1/PTPN22",2
"GO:0046621","BP","GO:0046621","negative regulation of organ growth","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"CITED2/NOG",2
"GO:0051084","BP","GO:0051084","'de novo' post-translational protein folding","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"DNAJB4/HSPA2",2
"GO:0060323","BP","GO:0060323","head morphogenesis","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"CRISPLD2/NOG",2
"GO:0090505","BP","GO:0090505","epiboly involved in wound healing","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"CCN1/PDPN",2
"GO:0141085","BP","GO:0141085","regulation of inflammasome-mediated signaling pathway","2/238","37/18870",0.0791116851225106,0.319184877540312,0.271176579408068,"PLCG2/PTPN22",2
"GO:0007389","BP","GO:0007389","pattern specification process","10/238","475/18870",0.0793756381044647,0.319184877540312,0.271176579408068,"ZBTB16/TGFBR2/NKD1/DAAM2/FZD5/CITED2/GDNF/STC1/DLL4/NOG",10
"GO:1990778","BP","GO:1990778","protein localization to cell periphery","8/238","353/18870",0.0794830288335254,0.319184877540312,0.271176579408068,"CACNB2/MYADM/PIK3R1/SORBS1/PKDCC/ZDHHC23/NKD2/PKP2",8
"GO:0001936","BP","GO:0001936","regulation of endothelial cell proliferation","5/238","181/18870",0.0795451299597001,0.319184877540312,0.271176579408068,"THBS1/LEP/COL4A3/RGCC/DLL4",5
"GO:0007219","BP","GO:0007219","Notch signaling pathway","5/238","181/18870",0.0795451299597001,0.319184877540312,0.271176579408068,"TIMP4/TGFBR2/TMEM100/DLL4/DNER",5
"GO:0021953","BP","GO:0021953","central nervous system neuron differentiation","5/238","181/18870",0.0795451299597001,0.319184877540312,0.271176579408068,"RAC3/LEP/GDF7/ADARB1/DLL4",5
"GO:0050954","BP","GO:0050954","sensory perception of mechanical stimulus","5/238","181/18870",0.0795451299597001,0.319184877540312,0.271176579408068,"COL4A3/KCNQ3/USP53/COL11A1/CHD7",5
"GO:1905475","BP","GO:1905475","regulation of protein localization to membrane","5/238","181/18870",0.0795451299597001,0.319184877540312,0.271176579408068,"STOM/PIK3R1/SORBS1/PKDCC/NKD2",5
"GO:0051347","BP","GO:0051347","positive regulation of transferase activity","9/238","414/18870",0.0799449475243704,0.320384669902206,0.272195912125851,"TGFBR2/MMD/THBS1/PRKAG2/NEDD9/GPRC5B/LEP/CCN1/RGCC",9
"GO:0006909","BP","GO:0006909","phagocytosis","6/238","237/18870",0.0802800766599694,0.321322523457661,0.272992704007453,"PTX3/THBS1/RAC3/LEP/CD302/PLCG2",6
"GO:0043537","BP","GO:0043537","negative regulation of blood vessel endothelial cell migration","3/238","80/18870",0.0803986319023769,0.32133178209987,0.273000570065969,"THBS1/RGCC/DLL4",3
"GO:1901342","BP","GO:1901342","regulation of vasculature development","8/238","354/18870",0.0804846125083375,0.32133178209987,0.273000570065969,"GLUL/ADAMTS1/TGFBR2/THBS1/LEP/COL4A3/RGCC/ANGPTL7",8
"GO:0051224","BP","GO:0051224","negative regulation of protein transport","4/238","129/18870",0.0806821890078566,0.321592919415345,0.273222429962691,"FOXO1/INHBB/PKDCC/RAB11FIP1",4
"GO:0009165","BP","GO:0009165","nucleotide biosynthetic process","7/238","295/18870",0.0807524070778619,0.321592919415345,0.273222429962691,"NNMT/ACSL1/CTPS1/ACSS1/PRKAG2/GUCY2D/PDK4",7
"GO:0045137","BP","GO:0045137","development of primary sexual characteristics","6/238","238/18870",0.0815364645223689,0.324308991554554,0.275529980238293,"ADAMTS1/PTX3/CITED2/INHBB/LEP/DMC1",6
"GO:0014902","BP","GO:0014902","myotube differentiation","4/238","130/18870",0.0824627473139391,0.325404724110031,0.276460904687566,"SORT1/KLF5/ADAMTS5/DNER",4
"GO:0003151","BP","GO:0003151","outflow tract morphogenesis","3/238","81/18870",0.0827494569187736,0.325404724110031,0.276460904687566,"TGFBR2/CITED2/NOG",3
"GO:0007422","BP","GO:0007422","peripheral nervous system development","3/238","81/18870",0.0827494569187736,0.325404724110031,0.276460904687566,"LAMA2/CITED2/GDNF",3
"GO:0001990","BP","GO:0001990","regulation of systemic arterial blood pressure by hormone","2/238","38/18870",0.0828358784786077,0.325404724110031,0.276460904687566,"CORIN/SERPINF2",2
"GO:0032965","BP","GO:0032965","regulation of collagen biosynthetic process","2/238","38/18870",0.0828358784786077,0.325404724110031,0.276460904687566,"RGCC/SERPINF2",2
"GO:0035633","BP","GO:0035633","maintenance of blood-brain barrier","2/238","38/18870",0.0828358784786077,0.325404724110031,0.276460904687566,"TJP2/LAMA2",2
"GO:0040036","BP","GO:0040036","regulation of fibroblast growth factor receptor signaling pathway","2/238","38/18870",0.0828358784786077,0.325404724110031,0.276460904687566,"THBS1/NOG",2
"GO:0042401","BP","GO:0042401","biogenic amine biosynthetic process","2/238","38/18870",0.0828358784786077,0.325404724110031,0.276460904687566,"GCH1/GPR37",2
"GO:0070873","BP","GO:0070873","regulation of glycogen metabolic process","2/238","38/18870",0.0828358784786077,0.325404724110031,0.276460904687566,"IRS2/SORBS1",2
"GO:0090504","BP","GO:0090504","epiboly","2/238","38/18870",0.0828358784786077,0.325404724110031,0.276460904687566,"CCN1/PDPN",2
"GO:1901293","BP","GO:1901293","nucleoside phosphate biosynthetic process","7/238","297/18870",0.0829966042352132,0.325633590443836,0.276655347450711,"NNMT/ACSL1/CTPS1/ACSS1/PRKAG2/GUCY2D/PDK4",7
"GO:0048771","BP","GO:0048771","tissue remodeling","5/238","184/18870",0.0839444274263369,0.328946227325399,0.279469733725166,"LEP/DLL4/PDK4/CHD7/HTR1B",5
"GO:0046928","BP","GO:0046928","regulation of neurotransmitter secretion","3/238","82/18870",0.0851296496087409,0.332770020241794,0.282718393534564,"ATP2A2/MCTP1/HTR1B",3
"GO:0051341","BP","GO:0051341","regulation of oxidoreductase activity","3/238","82/18870",0.0851296496087409,0.332770020241794,0.282718393534564,"GCH1/GDNF/LEP",3
"GO:0030072","BP","GO:0030072","peptide hormone secretion","6/238","241/18870",0.0853714357173379,0.333305187604054,0.283173066875691,"IRS2/FOXO1/INHBB/LEP/CHD7/MYRIP",6
"GO:0046328","BP","GO:0046328","regulation of JNK cascade","4/238","132/18870",0.0860816499672677,0.334047884671862,0.283804055573954,"PER1/GADD45B/PTPN22/SERPINF2",4
"GO:0050808","BP","GO:0050808","synapse organization","10/238","483/18870",0.086353738867356,0.334047884671862,0.283804055573954,"SPARCL1/CACNB2/PDLIM5/SORT1/RAC3/FZD5/GDNF/NEDD9/NEGR1/DNER",10
"GO:0009309","BP","GO:0009309","amine biosynthetic process","2/238","39/18870",0.0866127932566439,0.334047884671862,0.283804055573954,"GCH1/GPR37",2
"GO:0010762","BP","GO:0010762","regulation of fibroblast migration","2/238","39/18870",0.0866127932566439,0.334047884671862,0.283804055573954,"PRR5L/THBS1",2
"GO:0017158","BP","GO:0017158","regulation of calcium ion-dependent exocytosis","2/238","39/18870",0.0866127932566439,0.334047884671862,0.283804055573954,"ATP2A2/TRPV6",2
"GO:0032885","BP","GO:0032885","regulation of polysaccharide biosynthetic process","2/238","39/18870",0.0866127932566439,0.334047884671862,0.283804055573954,"IRS2/SORBS1",2
"GO:0043620","BP","GO:0043620","regulation of DNA-templated transcription in response to stress","2/238","39/18870",0.0866127932566439,0.334047884671862,0.283804055573954,"CITED2/ATF3",2
"GO:0044060","BP","GO:0044060","regulation of endocrine process","2/238","39/18870",0.0866127932566439,0.334047884671862,0.283804055573954,"INHBB/LEP",2
"GO:0070229","BP","GO:0070229","negative regulation of lymphocyte apoptotic process","2/238","39/18870",0.0866127932566439,0.334047884671862,0.283804055573954,"IRS2/TSC22D3",2
"GO:0140632","BP","GO:0140632","canonical inflammasome complex assembly","2/238","39/18870",0.0866127932566439,0.334047884671862,0.283804055573954,"PLCG2/PTPN22",2
"GO:0007565","BP","GO:0007565","female pregnancy","5/238","186/18870",0.0869475147350754,0.334932365852206,0.284555502769338,"CORIN/CITED2/LEP/STC1/IGFBP2",5
"GO:0001570","BP","GO:0001570","vasculogenesis","3/238","83/18870",0.0875388314190129,0.336394687121672,0.285797877667878,"TGFBR2/CITED2/TMEM100",3
"GO:0007492","BP","GO:0007492","endoderm development","3/238","83/18870",0.0875388314190129,0.336394687121672,0.285797877667878,"DUSP1/COL11A1/NOG",3
"GO:0061041","BP","GO:0061041","regulation of wound healing","4/238","133/18870",0.0879197511417662,0.337043388574829,0.28634900854375,"THBS1/TSPAN8/WFDC1/SERPINF2",4
"GO:1904950","BP","GO:1904950","negative regulation of establishment of protein localization","4/238","133/18870",0.0879197511417662,0.337043388574829,0.28634900854375,"FOXO1/INHBB/PKDCC/RAB11FIP1",4
"GO:0042307","BP","GO:0042307","positive regulation of protein import into nucleus","2/238","40/18870",0.0904405206065707,0.345872412139208,0.293850066952757,"PIK3R1/LEP",2
"GO:0046676","BP","GO:0046676","negative regulation of insulin secretion","2/238","40/18870",0.0904405206065707,0.345872412139208,0.293850066952757,"FOXO1/INHBB",2
"GO:0016485","BP","GO:0016485","protein processing","6/238","245/18870",0.0906374705219982,0.346208991969844,0.294136022126677,"THBS1/CORIN/CPM/NKD2/COMP/SERPINF2",6
"GO:0001933","BP","GO:0001933","negative regulation of protein phosphorylation","7/238","304/18870",0.0911319762222601,0.347679976511816,0.295385757263028,"DUSP1/ERRFI1/PRR5L/MYADM/PRKAG2/ADARB1/PTPN22",7
"GO:0002790","BP","GO:0002790","peptide secretion","6/238","246/18870",0.0919810918340427,0.350498692864014,0.297780513131793,"IRS2/FOXO1/INHBB/LEP/CHD7/MYRIP",6
"GO:0051591","BP","GO:0051591","response to cAMP","3/238","85/18870",0.0924426269841346,0.351414675305718,0.298558723513353,"PER1/INHBB/STC1",3
"GO:0061053","BP","GO:0061053","somite development","3/238","85/18870",0.0924426269841346,0.351414675305718,0.298558723513353,"NKD1/FRZB/NOG",3
"GO:0006458","BP","GO:0006458","'de novo' protein folding","2/238","41/18870",0.0943171910775614,0.356409076390595,0.302801921414287,"DNAJB4/HSPA2",2
"GO:0014046","BP","GO:0014046","dopamine secretion","2/238","41/18870",0.0943171910775614,0.356409076390595,0.302801921414287,"GDNF/HTR1B",2
"GO:0045923","BP","GO:0045923","positive regulation of fatty acid metabolic process","2/238","41/18870",0.0943171910775614,0.356409076390595,0.302801921414287,"IRS2/NR4A3",2
"GO:0050892","BP","GO:0050892","intestinal absorption","2/238","41/18870",0.0943171910775614,0.356409076390595,0.302801921414287,"TJP2/LEP",2
"GO:1902742","BP","GO:1902742","apoptotic process involved in development","2/238","41/18870",0.0943171910775614,0.356409076390595,0.302801921414287,"FZD5/CCN1",2
"GO:0002700","BP","GO:0002700","regulation of production of molecular mediator of immune response","5/238","191/18870",0.0946980290255219,0.357050982538769,0.303347279060628,"NR4A3/FZD5/GPRC5B/PLCG2/PTPN22",5
"GO:0008543","BP","GO:0008543","fibroblast growth factor receptor signaling pathway","3/238","86/18870",0.094936463261567,0.357050982538769,0.303347279060628,"THBS1/FGF22/NOG",3
"GO:0055013","BP","GO:0055013","cardiac muscle cell development","3/238","86/18870",0.094936463261567,0.357050982538769,0.303347279060628,"PDLIM5/ALPK3/NEBL",3
"GO:2000243","BP","GO:2000243","positive regulation of reproductive process","3/238","86/18870",0.094936463261567,0.357050982538769,0.303347279060628,"CITED2/INHBB/PLB1",3
"GO:0009306","BP","GO:0009306","protein secretion","8/238","368/18870",0.0952938866817644,0.357379765142643,0.303626609781351,"IRS2/FOXO1/INHBB/LEP/RAB11FIP1/COMP/ANKRD1/MYRIP",8
"GO:0010466","BP","GO:0010466","negative regulation of peptidase activity","4/238","137/18870",0.0954601736578781,0.357379765142643,0.303626609781351,"TIMP4/THBS1/SERPINA3/SERPINF2",4
"GO:1904375","BP","GO:1904375","regulation of protein localization to cell periphery","4/238","137/18870",0.0954601736578781,0.357379765142643,0.303626609781351,"PIK3R1/SORBS1/PKDCC/NKD2",4
"GO:0003002","BP","GO:0003002","regionalization","9/238","430/18870",0.0954802727120877,0.357379765142643,0.303626609781351,"ZBTB16/TGFBR2/NKD1/DAAM2/FZD5/CITED2/GDNF/DLL4/NOG",9
"GO:0072521","BP","GO:0072521","purine-containing compound metabolic process","10/238","493/18870",0.0955861549311662,0.357379765142643,0.303626609781351,"SAMHD1/NNMT/DCXR/ACSL1/TJP2/ACSS1/PRKAG2/GUCY2D/PDK4/ACOT4",10
"GO:0006874","BP","GO:0006874","intracellular calcium ion homeostasis","7/238","308/18870",0.0959756546211411,0.358414371781418,0.304505602205736,"CACNB2/TRPC6/ATP2A2/STC1/PLCG2/CHD7/HTR1B",7
"GO:0071466","BP","GO:0071466","cellular response to xenobiotic stimulus","5/238","192/18870",0.0962893049639239,0.359163628140082,0.305142163618069,"ACSL1/AOX1/KCNQ3/ANKRD1/HTR1B",5
"GO:0035592","BP","GO:0035592","establishment of protein localization to extracellular region","8/238","369/18870",0.0964076864690595,0.359183619693636,0.305159148260798,"IRS2/FOXO1/INHBB/LEP/RAB11FIP1/COMP/ANKRD1/MYRIP",8
"GO:0043401","BP","GO:0043401","steroid hormone mediated signaling pathway","4/238","138/18870",0.0973916153676779,0.362192360980013,0.307715347591578,"PER1/NR4A3/LBH/LMO3",4
"GO:0009100","BP","GO:0009100","glycoprotein metabolic process","8/238","370/18870",0.0975289095793148,0.362192360980013,0.307715347591578,"CHST7/PTX3/LEP/GALNT15/B3GALT2/GCNT4/CHSY3/COL11A1",8
"GO:0009755","BP","GO:0009755","hormone-mediated signaling pathway","5/238","193/18870",0.0978941650050048,0.362192360980013,0.307715347591578,"PER1/ACSL1/NR4A3/LBH/LMO3",5
"GO:0006958","BP","GO:0006958","complement activation, classical pathway","2/238","42/18870",0.0982409739347928,0.362192360980013,0.307715347591578,"C7/C6",2
"GO:0021983","BP","GO:0021983","pituitary gland development","2/238","42/18870",0.0982409739347928,0.362192360980013,0.307715347591578,"INHBB/NOG",2
"GO:0050850","BP","GO:0050850","positive regulation of calcium-mediated signaling","2/238","42/18870",0.0982409739347928,0.362192360980013,0.307715347591578,"LMCD1/PLCG2",2
"GO:0071634","BP","GO:0071634","regulation of transforming growth factor beta production","2/238","42/18870",0.0982409739347928,0.362192360980013,0.307715347591578,"THBS1/SERPINF2",2
"GO:0140467","BP","GO:0140467","integrated stress response signaling","2/238","42/18870",0.0982409739347928,0.362192360980013,0.307715347591578,"CEBPD/BATF3",2
"GO:0141084","BP","GO:0141084","inflammasome-mediated signaling pathway","2/238","42/18870",0.0982409739347928,0.362192360980013,0.307715347591578,"PLCG2/PTPN22",2
"GO:0042593","BP","GO:0042593","glucose homeostasis","6/238","251/18870",0.0988604705468198,0.364053969174732,0.309296953043353,"KLF15/IRS2/FOXO1/PIK3R1/LEP/PDK4",6
"GO:0048839","BP","GO:0048839","inner ear development","5/238","194/18870",0.0995125456036574,0.365607942113784,0.310617194369798,"CEBPD/FRZB/COL11A1/LGR5/CHD7",5
"GO:0051260","BP","GO:0051260","protein homooligomerization","5/238","194/18870",0.0995125456036574,0.365607942113784,0.310617194369798,"SAMHD1/STEAP4/KCND3/ALOX5AP/COMP",5
"GO:0033500","BP","GO:0033500","carbohydrate homeostasis","6/238","252/18870",0.100268382710154,0.367959492208855,0.312615050020109,"KLF15/IRS2/FOXO1/PIK3R1/LEP/PDK4",6
"GO:0048469","BP","GO:0048469","cell maturation","5/238","195/18870",0.101144381541676,0.370457250162704,0.31473712254226,"RAC3/FZD5/DMC1/KCNQ3/RND1",5
"GO:0008360","BP","GO:0008360","regulation of cell shape","4/238","140/18870",0.101309127050344,0.370457250162704,0.31473712254226,"FGD4/RAC3/CDC42EP3/PDPN",4
"GO:0010712","BP","GO:0010712","regulation of collagen metabolic process","2/238","43/18870",0.102210076487075,0.370457250162704,0.31473712254226,"RGCC/SERPINF2",2
